,TargetID,TargetName,SMILES,AnalogSeriesID,pKi
1721,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(s2)CN3CCCCC3,17451,7.92
1722,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(s2)CN3CCOCC3,17451,7.59
1723,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(s2)CNCCOC,17451,8.36
1724,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc3c(c2)[nH]cc3CN4CCCCC4,14982,8.55
1725,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc3c(c2)[nH]cc3CN4CCOCC4,14982,8.68
1726,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc3c(c2)c(c[nH]3)CN4CCCCC4,11715,7.06
1727,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc3c(c2)c(c[nH]3)CN4CCOCC4,11715,6.74
1728,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc3c(c2)c(cs3)C(=O)N4CCCCC4,13484,5.48
1729,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc3c(c2)c(cs3)CN4CCCCC4,13498,7.3
1730,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc3c(c2)n(cc3CN4CCCCC4)S(=O)(=O)C,14982,8.72
1731,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc3c(c2)n(cc3CN4CCOCC4)C,14982,7.82
1732,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2cccc3c2[nH]cc3CN4CCCCC4,1523,7.57
1733,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2cccc3c2[nH]cc3CN4CCOCC4,1523,7.92
1734,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2cnc(cn2)CN3CCCCC3,11743,8.96
1735,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2cnc(cn2)CN3CCOCC3,11743,7.64
1736,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2coc(n2)CN3CCCCC3,17623,6.7
1737,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2coc(n2)CN3CCOCC3,17623,6.16
1738,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2coc(n2)CNCCOC,17623,6.34
1739,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2csc(n2)CN3CCCCC3,17629,6.96
1740,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2csc(n2)CN3CCOCC3,17629,6.17
